Pavarde                       Vardas                        Galutinis (Med.)
Pavarde1054                   Vardas1054                    5.00 
Pavarde1055                   Vardas1055                    5.00 
Pavarde1056                   Vardas1056                    4.00 
Pavarde1057                   Vardas1057                    5.00 
Pavarde1058                   Vardas1058                    8.00 
Pavarde1059                   Vardas1059                    5.00 
Pavarde106                    Vardas106                     5.00 
Pavarde1060                   Vardas1060                    2.00 
Pavarde1061                   Vardas1061                    4.00 
Pavarde1062                   Vardas1062                    5.00 
Pavarde1063                   Vardas1063                    6.00 
Pavarde1064                   Vardas1064                    6.00 
Pavarde1065                   Vardas1065                    6.00 
Pavarde1066                   Vardas1066                    7.00 
Pavarde1067                   Vardas1067                    7.00 
Pavarde1068                   Vardas1068                    6.00 
Pavarde1069                   Vardas1069                    5.00 
Pavarde107                    Vardas107                     7.00 
Pavarde1070                   Vardas1070                    7.00 
Pavarde1071                   Vardas1071                    5.00 
Pavarde1072                   Vardas1072                    7.00 
Pavarde1073                   Vardas1073                    6.00 
Pavarde1074                   Vardas1074                    5.00 
Pavarde1075                   Vardas1075                    6.00 
Pavarde1076                   Vardas1076                    4.00 
Pavarde1077                   Vardas1077                    3.00 
Pavarde1078                   Vardas1078                    5.00 
Pavarde1079                   Vardas1079                    5.00 
Pavarde108                    Vardas108                     8.00 
Pavarde1080                   Vardas1080                    5.00 
Pavarde1081                   Vardas1081                    5.00 
Pavarde1082                   Vardas1082                    3.00 
Pavarde1083                   Vardas1083                    7.00 
Pavarde1084                   Vardas1084                    7.00 
Pavarde1085                   Vardas1085                    5.00 
Pavarde1086                   Vardas1086                    8.00 
Pavarde1087                   Vardas1087                    7.00 
Pavarde1088                   Vardas1088                    5.00 
Pavarde1089                   Vardas1089                    4.00 
Pavarde109                    Vardas109                     4.00 
Pavarde1090                   Vardas1090                    5.00 
Pavarde1091                   Vardas1091                    5.00 
Pavarde1092                   Vardas1092                    2.00 
Pavarde1093                   Vardas1093                    6.00 
Pavarde1094                   Vardas1094                    6.00 
Pavarde1095                   Vardas1095                    4.00 
Pavarde1096                   Vardas1096                    4.00 
Pavarde1097                   Vardas1097                    7.00 
Pavarde1098                   Vardas1098                    3.00 
Pavarde1099                   Vardas1099                    6.00 
Pavarde11                     Vardas11                      4.00 
Pavarde110                    Vardas110                     3.00 
Pavarde1100                   Vardas1100                    7.00 
Pavarde1101                   Vardas1101                    4.00 
Pavarde1102                   Vardas1102                    7.00 
Pavarde1103                   Vardas1103                    5.00 
Pavarde1104                   Vardas1104                    6.00 
Pavarde1105                   Vardas1105                    7.00 
Pavarde1106                   Vardas1106                    5.00 
Pavarde1107                   Vardas1107                    7.00 
Pavarde1108                   Vardas1108                    5.00 
Pavarde1109                   Vardas1109                    7.00 
Pavarde111                    Vardas111                     5.00 
Pavarde1110                   Vardas1110                    5.00 
Pavarde1111                   Vardas1111                    7.00 
Pavarde1112                   Vardas1112                    6.00 
Pavarde1113                   Vardas1113                    6.00 
Pavarde1114                   Vardas1114                    7.00 
Pavarde1115                   Vardas1115                    4.00 
Pavarde1116                   Vardas1116                    5.00 
Pavarde1117                   Vardas1117                    7.00 
Pavarde1118                   Vardas1118                    4.00 
Pavarde1119                   Vardas1119                    7.00 
Pavarde112                    Vardas112                     7.00 
Pavarde1120                   Vardas1120                    5.00 
Pavarde1121                   Vardas1121                    6.00 
Pavarde1122                   Vardas1122                    5.00 
Pavarde1123                   Vardas1123                    5.00 
Pavarde1124                   Vardas1124                    3.00 
Pavarde1125                   Vardas1125                    5.00 
Pavarde1126                   Vardas1126                    8.00 
Pavarde1127                   Vardas1127                    5.00 
Pavarde1128                   Vardas1128                    3.00 
Pavarde1129                   Vardas1129                    6.00 
Pavarde113                    Vardas113                     5.00 
Pavarde1130                   Vardas1130                    7.00 
Pavarde1131                   Vardas1131                    5.00 
Pavarde1132                   Vardas1132                    6.00 
Pavarde1133                   Vardas1133                    5.00 
Pavarde1134                   Vardas1134                    7.00 
Pavarde1135                   Vardas1135                    5.00 
Pavarde1136                   Vardas1136                    7.00 
Pavarde1137                   Vardas1137                    5.00 
Pavarde1138                   Vardas1138                    8.00 
Pavarde1139                   Vardas1139                    6.00 
Pavarde114                    Vardas114                     6.00 
Pavarde1140                   Vardas1140                    5.00 
Pavarde1141                   Vardas1141                    6.00 
Pavarde1142                   Vardas1142                    6.00 
Pavarde1143                   Vardas1143                    5.00 
Pavarde1144                   Vardas1144                    6.00 
Pavarde1145                   Vardas1145                    6.00 
Pavarde1146                   Vardas1146                    3.00 
Pavarde1147                   Vardas1147                    4.00 
Pavarde1148                   Vardas1148                    5.00 
Pavarde1149                   Vardas1149                    5.00 
Pavarde115                    Vardas115                     8.00 
Pavarde1150                   Vardas1150                    4.00 
Pavarde1151                   Vardas1151                    7.00 
Pavarde1152                   Vardas1152                    5.00 
Pavarde1153                   Vardas1153                    6.00 
Pavarde1154                   Vardas1154                    5.00 
Pavarde1155                   Vardas1155                    6.00 
Pavarde1156                   Vardas1156                    6.00 
Pavarde1157                   Vardas1157                    5.00 
Pavarde1158                   Vardas1158                    5.00 
Pavarde1159                   Vardas1159                    5.00 
Pavarde116                    Vardas116                     5.00 
Pavarde1160                   Vardas1160                    6.00 
Pavarde1161                   Vardas1161                    8.00 
Pavarde1162                   Vardas1162                    4.00 
Pavarde1163                   Vardas1163                    6.00 
Pavarde1164                   Vardas1164                    5.00 
Pavarde1165                   Vardas1165                    7.00 
Pavarde1166                   Vardas1166                    5.00 
Pavarde1167                   Vardas1167                    5.00 
Pavarde1168                   Vardas1168                    7.00 
Pavarde1169                   Vardas1169                    4.00 
Pavarde117                    Vardas117                     6.00 
Pavarde1170                   Vardas1170                    5.00 
Pavarde1171                   Vardas1171                    6.00 
Pavarde1172                   Vardas1172                    5.00 
Pavarde1173                   Vardas1173                    3.00 
Pavarde1174                   Vardas1174                    6.00 
Pavarde1175                   Vardas1175                    5.00 
Pavarde1176                   Vardas1176                    3.00 
Pavarde1177                   Vardas1177                    7.00 
Pavarde1178                   Vardas1178                    4.00 
Pavarde1179                   Vardas1179                    7.00 
Pavarde118                    Vardas118                     8.00 
Pavarde1180                   Vardas1180                    5.00 
Pavarde1181                   Vardas1181                    7.00 
Pavarde1182                   Vardas1182                    4.00 
Pavarde1183                   Vardas1183                    5.00 
Pavarde1184                   Vardas1184                    5.00 
Pavarde1185                   Vardas1185                    5.00 
Pavarde1186                   Vardas1186                    5.00 
Pavarde1187                   Vardas1187                    5.00 
Pavarde1188                   Vardas1188                    7.00 
Pavarde1189                   Vardas1189                    5.00 
Pavarde119                    Vardas119                     7.00 
Pavarde1190                   Vardas1190                    4.00 
Pavarde1191                   Vardas1191                    5.00 
Pavarde1192                   Vardas1192                    7.00 
Pavarde1193                   Vardas1193                    4.00 
Pavarde1194                   Vardas1194                    8.00 
Pavarde1195                   Vardas1195                    4.00 
Pavarde1196                   Vardas1196                    6.00 
Pavarde1197                   Vardas1197                    4.00 
Pavarde1198                   Vardas1198                    7.00 
Pavarde1199                   Vardas1199                    7.00 
Pavarde12                     Vardas12                      6.00 
Pavarde120                    Vardas120                     5.00 
Pavarde1200                   Vardas1200                    6.00 
Pavarde1201                   Vardas1201                    6.00 
Pavarde1202                   Vardas1202                    6.00 
Pavarde1203                   Vardas1203                    4.00 
Pavarde1204                   Vardas1204                    5.00 
Pavarde1205                   Vardas1205                    7.00 
Pavarde1206                   Vardas1206                    6.00 
Pavarde1207                   Vardas1207                    5.00 
Pavarde1208                   Vardas1208                    6.00 
Pavarde1209                   Vardas1209                    7.00 
Pavarde121                    Vardas121                     7.00 
Pavarde1210                   Vardas1210                    6.00 
Pavarde1211                   Vardas1211                    4.00 
Pavarde1212                   Vardas1212                    8.00 
Pavarde1213                   Vardas1213                    4.00 
Pavarde1214                   Vardas1214                    6.00 
Pavarde1215                   Vardas1215                    6.00 
Pavarde1216                   Vardas1216                    6.00 
Pavarde1217                   Vardas1217                    5.00 
Pavarde1218                   Vardas1218                    6.00 
Pavarde1219                   Vardas1219                    6.00 
Pavarde122                    Vardas122                     6.00 
Pavarde1220                   Vardas1220                    7.00 
Pavarde1221                   Vardas1221                    3.00 
Pavarde1222                   Vardas1222                    7.00 
Pavarde1223                   Vardas1223                    5.00 
Pavarde1224                   Vardas1224                    6.00 
Pavarde1225                   Vardas1225                    6.00 
Pavarde1226                   Vardas1226                    5.00 
Pavarde1227                   Vardas1227                    4.00 
Pavarde1228                   Vardas1228                    5.00 
Pavarde1229                   Vardas1229                    5.00 
Pavarde123                    Vardas123                     6.00 
Pavarde1230                   Vardas1230                    5.00 
Pavarde1231                   Vardas1231                    4.00 
Pavarde1232                   Vardas1232                    6.00 
Pavarde1233                   Vardas1233                    5.00 
Pavarde1234                   Vardas1234                    6.00 
Pavarde1235                   Vardas1235                    7.00 
Pavarde1236                   Vardas1236                    5.00 
Pavarde1237                   Vardas1237                    8.00 
Pavarde1238                   Vardas1238                    7.00 
Pavarde1239                   Vardas1239                    5.00 
Pavarde124                    Vardas124                     4.00 
Pavarde1240                   Vardas1240                    5.00 
Pavarde1241                   Vardas1241                    8.00 
Pavarde1242                   Vardas1242                    6.00 
Pavarde1243                   Vardas1243                    5.00 
Pavarde1244                   Vardas1244                    7.00 
Pavarde1245                   Vardas1245                    5.00 
Pavarde1246                   Vardas1246                    6.00 
Pavarde1247                   Vardas1247                    5.00 
Pavarde1248                   Vardas1248                    8.00 
Pavarde1249                   Vardas1249                    4.00 
Pavarde125                    Vardas125                     6.00 
Pavarde1250                   Vardas1250                    4.00 
Pavarde1251                   Vardas1251                    6.00 
Pavarde1252                   Vardas1252                    6.00 
Pavarde1253                   Vardas1253                    3.00 
Pavarde1254                   Vardas1254                    5.00 
Pavarde1255                   Vardas1255                    5.00 
Pavarde1256                   Vardas1256                    6.00 
Pavarde1257                   Vardas1257                    6.00 
Pavarde1258                   Vardas1258                    4.00 
Pavarde1259                   Vardas1259                    5.00 
Pavarde126                    Vardas126                     4.00 
Pavarde1260                   Vardas1260                    7.00 
Pavarde1261                   Vardas1261                    4.00 
Pavarde1262                   Vardas1262                    3.00 
Pavarde1263                   Vardas1263                    6.00 
Pavarde1264                   Vardas1264                    7.00 
Pavarde1265                   Vardas1265                    6.00 
Pavarde1266                   Vardas1266                    5.00 
Pavarde1267                   Vardas1267                    6.00 
Pavarde1268                   Vardas1268                    5.00 
Pavarde1269                   Vardas1269                    6.00 
Pavarde127                    Vardas127                     4.00 
Pavarde1270                   Vardas1270                    5.00 
Pavarde1271                   Vardas1271                    6.00 
Pavarde1272                   Vardas1272                    7.00 
Pavarde1273                   Vardas1273                    6.00 
Pavarde1274                   Vardas1274                    8.00 
Pavarde1275                   Vardas1275                    6.00 
Pavarde1276                   Vardas1276                    6.00 
Pavarde1277                   Vardas1277                    4.00 
Pavarde1278                   Vardas1278                    3.00 
Pavarde1279                   Vardas1279                    5.00 
Pavarde128                    Vardas128                     5.00 
Pavarde1280                   Vardas1280                    4.00 
Pavarde1281                   Vardas1281                    6.00 
Pavarde1282                   Vardas1282                    5.00 
Pavarde1283                   Vardas1283                    6.00 
Pavarde1284                   Vardas1284                    4.00 
Pavarde1285                   Vardas1285                    6.00 
Pavarde1286                   Vardas1286                    6.00 
Pavarde1287                   Vardas1287                    6.00 
Pavarde1288                   Vardas1288                    5.00 
Pavarde1289                   Vardas1289                    5.00 
Pavarde129                    Vardas129                     5.00 
Pavarde1290                   Vardas1290                    8.00 
Pavarde1291                   Vardas1291                    5.00 
Pavarde1292                   Vardas1292                    7.00 
Pavarde1293                   Vardas1293                    4.00 
Pavarde1294                   Vardas1294                    4.00 
Pavarde1295                   Vardas1295                    6.00 
Pavarde1296                   Vardas1296                    6.00 
Pavarde1297                   Vardas1297                    6.00 
Pavarde1298                   Vardas1298                    5.00 
Pavarde1299                   Vardas1299                    7.00 
Pavarde13                     Vardas13                      3.00 
Pavarde130                    Vardas130                     5.00 
Pavarde1300                   Vardas1300                    4.00 
Pavarde1301                   Vardas1301                    3.00 
Pavarde1302                   Vardas1302                    4.00 
Pavarde1303                   Vardas1303                    5.00 
Pavarde1304                   Vardas1304                    7.00 
Pavarde1305                   Vardas1305                    6.00 
Pavarde1306                   Vardas1306                    5.00 
Pavarde1307                   Vardas1307                    6.00 
Pavarde1308                   Vardas1308                    6.00 
Pavarde1309                   Vardas1309                    5.00 
Pavarde131                    Vardas131                     7.00 
Pavarde1310                   Vardas1310                    8.00 
Pavarde1311                   Vardas1311                    7.00 
Pavarde1312                   Vardas1312                    4.00 
Pavarde1313                   Vardas1313                    5.00 
Pavarde1314                   Vardas1314                    5.00 
Pavarde1315                   Vardas1315                    7.00 
Pavarde1316                   Vardas1316                    3.00 
Pavarde1317                   Vardas1317                    5.00 
Pavarde1318                   Vardas1318                    5.00 
Pavarde1319                   Vardas1319                    4.00 
Pavarde132                    Vardas132                     4.00 
Pavarde1320                   Vardas1320                    5.00 
Pavarde1321                   Vardas1321                    4.00 
Pavarde1322                   Vardas1322                    5.00 
Pavarde1323                   Vardas1323                    7.00 
Pavarde1324                   Vardas1324                    6.00 
Pavarde1325                   Vardas1325                    5.00 
Pavarde1326                   Vardas1326                    3.00 
Pavarde1327                   Vardas1327                    3.00 
Pavarde1328                   Vardas1328                    5.00 
Pavarde1329                   Vardas1329                    6.00 
Pavarde133                    Vardas133                     4.00 
Pavarde1330                   Vardas1330                    3.00 
Pavarde1331                   Vardas1331                    5.00 
Pavarde1332                   Vardas1332                    4.00 
Pavarde1333                   Vardas1333                    8.00 
Pavarde1334                   Vardas1334                    4.00 
Pavarde1335                   Vardas1335                    4.00 
Pavarde1336                   Vardas1336                    7.00 
Pavarde1337                   Vardas1337                    5.00 
Pavarde1338                   Vardas1338                    5.00 
Pavarde1339                   Vardas1339                    6.00 
Pavarde134                    Vardas134                     7.00 
Pavarde1340                   Vardas1340                    7.00 
Pavarde1341                   Vardas1341                    4.00 
Pavarde1342                   Vardas1342                    5.00 
Pavarde1343                   Vardas1343                    5.00 
Pavarde1344                   Vardas1344                    6.00 
Pavarde1345                   Vardas1345                    6.00 
Pavarde1346                   Vardas1346                    6.00 
Pavarde1347                   Vardas1347                    7.00 
Pavarde1348                   Vardas1348                    6.00 
Pavarde1349                   Vardas1349                    6.00 
Pavarde135                    Vardas135                     6.00 
Pavarde1350                   Vardas1350                    6.00 
Pavarde1351                   Vardas1351                    5.00 
Pavarde1352                   Vardas1352                    7.00 
Pavarde1353                   Vardas1353                    5.00 
Pavarde1354                   Vardas1354                    6.00 
Pavarde1355                   Vardas1355                    6.00 
Pavarde1356                   Vardas1356                    7.00 
Pavarde1357                   Vardas1357                    4.00 
Pavarde1358                   Vardas1358                    4.00 
Pavarde1359                   Vardas1359                    6.00 
Pavarde136                    Vardas136                     6.00 
Pavarde1360                   Vardas1360                    6.00 
Pavarde1361                   Vardas1361                    7.00 
Pavarde1362                   Vardas1362                    6.00 
Pavarde1363                   Vardas1363                    7.00 
Pavarde1364                   Vardas1364                    5.00 
Pavarde1365                   Vardas1365                    7.00 
Pavarde1366                   Vardas1366                    4.00 
Pavarde1367                   Vardas1367                    5.00 
Pavarde1368                   Vardas1368                    6.00 
Pavarde1369                   Vardas1369                    5.00 
Pavarde137                    Vardas137                     5.00 
Pavarde1370                   Vardas1370                    4.00 
Pavarde1371                   Vardas1371                    6.00 
Pavarde1372                   Vardas1372                    4.00 
Pavarde1373                   Vardas1373                    5.00 
Pavarde1374                   Vardas1374                    4.00 
Pavarde1375                   Vardas1375                    7.00 
Pavarde1376                   Vardas1376                    7.00 
Pavarde1377                   Vardas1377                    6.00 
Pavarde1378                   Vardas1378                    5.00 
Pavarde1379                   Vardas1379                    3.00 
Pavarde138                    Vardas138                     4.00 
Pavarde1380                   Vardas1380                    5.00 
Pavarde1381                   Vardas1381                    7.00 
Pavarde1382                   Vardas1382                    6.00 
Pavarde1383                   Vardas1383                    4.00 
Pavarde1384                   Vardas1384                    5.00 
Pavarde1385                   Vardas1385                    5.00 
Pavarde1386                   Vardas1386                    5.00 
Pavarde1387                   Vardas1387                    5.00 
Pavarde1388                   Vardas1388                    6.00 
Pavarde1389                   Vardas1389                    6.00 
Pavarde139                    Vardas139                     5.00 
Pavarde1390                   Vardas1390                    5.00 
Pavarde1391                   Vardas1391                    6.00 
Pavarde1392                   Vardas1392                    5.00 
Pavarde1393                   Vardas1393                    5.00 
Pavarde1394                   Vardas1394                    5.00 
Pavarde1395                   Vardas1395                    6.00 
Pavarde1396                   Vardas1396                    7.00 
Pavarde1397                   Vardas1397                    5.00 
Pavarde1398                   Vardas1398                    6.00 
Pavarde1399                   Vardas1399                    6.00 
Pavarde14                     Vardas14                      5.00 
Pavarde140                    Vardas140                     5.00 
Pavarde1400                   Vardas1400                    6.00 
Pavarde1401                   Vardas1401                    5.00 
Pavarde1402                   Vardas1402                    5.00 
Pavarde1403                   Vardas1403                    6.00 
Pavarde1404                   Vardas1404                    6.00 
Pavarde1405                   Vardas1405                    5.00 
Pavarde1406                   Vardas1406                    6.00 
Pavarde1407                   Vardas1407                    4.00 
Pavarde1408                   Vardas1408                    4.00 
Pavarde1409                   Vardas1409                    6.00 
Pavarde141                    Vardas141                     4.00 
Pavarde1410                   Vardas1410                    6.00 
Pavarde1411                   Vardas1411                    6.00 
Pavarde1412                   Vardas1412                    5.00 
Pavarde1413                   Vardas1413                    7.00 
Pavarde1414                   Vardas1414                    6.00 
Pavarde1415                   Vardas1415                    5.00 
Pavarde1416                   Vardas1416                    6.00 
Pavarde1417                   Vardas1417                    3.00 
Pavarde1418                   Vardas1418                    6.00 
Pavarde1419                   Vardas1419                    6.00 
Pavarde142                    Vardas142                     6.00 
Pavarde1420                   Vardas1420                    5.00 
Pavarde1421                   Vardas1421                    4.00 
Pavarde1422                   Vardas1422                    4.00 
Pavarde1423                   Vardas1423                    7.00 
Pavarde1424                   Vardas1424                    7.00 
Pavarde1425                   Vardas1425                    4.00 
Pavarde1426                   Vardas1426                    6.00 
Pavarde1427                   Vardas1427                    7.00 
Pavarde1428                   Vardas1428                    5.00 
Pavarde1429                   Vardas1429                    6.00 
Pavarde143                    Vardas143                     6.00 
Pavarde1430                   Vardas1430                    3.00 
Pavarde1431                   Vardas1431                    5.00 
Pavarde1432                   Vardas1432                    4.00 
Pavarde1433                   Vardas1433                    6.00 
Pavarde1434                   Vardas1434                    7.00 
Pavarde1435                   Vardas1435                    5.00 
Pavarde1436                   Vardas1436                    6.00 
Pavarde1437                   Vardas1437                    7.00 
Pavarde1438                   Vardas1438                    5.00 
Pavarde1439                   Vardas1439                    5.00 
Pavarde144                    Vardas144                     6.00 
Pavarde1440                   Vardas1440                    7.00 
Pavarde1441                   Vardas1441                    6.00 
Pavarde1442                   Vardas1442                    6.00 
Pavarde1443                   Vardas1443                    7.00 
Pavarde1444                   Vardas1444                    5.00 
Pavarde1445                   Vardas1445                    4.00 
Pavarde1446                   Vardas1446                    6.00 
Pavarde1447                   Vardas1447                    4.00 
Pavarde1448                   Vardas1448                    7.00 
Pavarde1449                   Vardas1449                    7.00 
Pavarde145                    Vardas145                     7.00 
Pavarde1450                   Vardas1450                    6.00 
Pavarde1451                   Vardas1451                    6.00 
Pavarde1452                   Vardas1452                    7.00 
Pavarde1453                   Vardas1453                    6.00 
Pavarde1454                   Vardas1454                    6.00 
Pavarde1455                   Vardas1455                    5.00 
Pavarde1456                   Vardas1456                    5.00 
Pavarde1457                   Vardas1457                    6.00 
Pavarde1458                   Vardas1458                    6.00 
Pavarde1459                   Vardas1459                    7.00 
Pavarde146                    Vardas146                     4.00 
Pavarde1460                   Vardas1460                    4.00 
Pavarde1461                   Vardas1461                    7.00 
Pavarde1462                   Vardas1462                    5.00 
Pavarde1463                   Vardas1463                    7.00 
Pavarde1464                   Vardas1464                    5.00 
Pavarde1465                   Vardas1465                    5.00 
Pavarde1466                   Vardas1466                    6.00 
Pavarde1467                   Vardas1467                    7.00 
Pavarde1468                   Vardas1468                    5.00 
Pavarde1469                   Vardas1469                    4.00 
Pavarde147                    Vardas147                     4.00 
Pavarde1470                   Vardas1470                    5.00 
Pavarde1471                   Vardas1471                    6.00 
Pavarde1472                   Vardas1472                    6.00 
Pavarde1473                   Vardas1473                    6.00 
Pavarde1474                   Vardas1474                    6.00 
Pavarde1475                   Vardas1475                    6.00 
Pavarde1476                   Vardas1476                    6.00 
Pavarde1477                   Vardas1477                    6.00 
Pavarde1478                   Vardas1478                    7.00 
Pavarde1479                   Vardas1479                    6.00 
Pavarde148                    Vardas148                     5.00 
Pavarde1480                   Vardas1480                    5.00 
Pavarde1481                   Vardas1481                    5.00 
Pavarde1482                   Vardas1482                    5.00 
Pavarde1483                   Vardas1483                    7.00 
Pavarde1484                   Vardas1484                    7.00 
Pavarde1485                   Vardas1485                    5.00 
Pavarde1486                   Vardas1486                    3.00 
Pavarde1487                   Vardas1487                    7.00 
Pavarde1488                   Vardas1488                    6.00 
Pavarde1489                   Vardas1489                    8.00 
Pavarde149                    Vardas149                     4.00 
Pavarde1490                   Vardas1490                    4.00 
Pavarde1491                   Vardas1491                    6.00 
Pavarde1492                   Vardas1492                    4.00 
Pavarde1493                   Vardas1493                    5.00 
Pavarde1494                   Vardas1494                    8.00 
Pavarde1495                   Vardas1495                    3.00 
Pavarde1496                   Vardas1496                    5.00 
Pavarde1497                   Vardas1497                    5.00 
Pavarde1498                   Vardas1498                    5.00 
Pavarde1499                   Vardas1499                    6.00 
Pavarde15                     Vardas15                      4.00 
Pavarde150                    Vardas150                     7.00 
Pavarde1500                   Vardas1500                    5.00 
Pavarde1501                   Vardas1501                    5.00 
Pavarde1502                   Vardas1502                    8.00 
Pavarde1503                   Vardas1503                    6.00 
Pavarde1504                   Vardas1504                    5.00 
Pavarde1505                   Vardas1505                    8.00 
Pavarde1506                   Vardas1506                    5.00 
Pavarde1507                   Vardas1507                    6.00 
Pavarde1508                   Vardas1508                    5.00 
Pavarde1509                   Vardas1509                    6.00 
Pavarde151                    Vardas151                     5.00 
Pavarde1510                   Vardas1510                    5.00 
Pavarde1511                   Vardas1511                    6.00 
Pavarde1512                   Vardas1512                    5.00 
Pavarde1513                   Vardas1513                    7.00 
Pavarde1514                   Vardas1514                    4.00 
Pavarde1515                   Vardas1515                    6.00 
Pavarde1516                   Vardas1516                    3.00 
Pavarde1517                   Vardas1517                    5.00 
Pavarde1518                   Vardas1518                    3.00 
Pavarde1519                   Vardas1519                    7.00 
Pavarde152                    Vardas152                     8.00 
Pavarde1520                   Vardas1520                    5.00 
Pavarde1521                   Vardas1521                    7.00 
Pavarde1522                   Vardas1522                    6.00 
Pavarde1523                   Vardas1523                    4.00 
Pavarde1524                   Vardas1524                    4.00 
Pavarde1525                   Vardas1525                    5.00 
Pavarde1526                   Vardas1526                    5.00 
Pavarde1527                   Vardas1527                    6.00 
Pavarde1528                   Vardas1528                    5.00 
Pavarde1529                   Vardas1529                    4.00 
Pavarde153                    Vardas153                     6.00 
Pavarde1530                   Vardas1530                    4.00 
Pavarde1531                   Vardas1531                    5.00 
Pavarde1532                   Vardas1532                    6.00 
Pavarde1533                   Vardas1533                    6.00 
Pavarde1534                   Vardas1534                    6.00 
Pavarde1535                   Vardas1535                    5.00 
Pavarde1536                   Vardas1536                    5.00 
Pavarde1537                   Vardas1537                    4.00 
Pavarde1538                   Vardas1538                    4.00 
Pavarde1539                   Vardas1539                    3.00 
Pavarde154                    Vardas154                     6.00 
Pavarde1540                   Vardas1540                    5.00 
Pavarde1541                   Vardas1541                    7.00 
Pavarde1542                   Vardas1542                    5.00 
Pavarde1543                   Vardas1543                    5.00 
Pavarde1544                   Vardas1544                    4.00 
Pavarde1545                   Vardas1545                    6.00 
Pavarde1546                   Vardas1546                    5.00 
Pavarde1547                   Vardas1547                    8.00 
Pavarde1548                   Vardas1548                    5.00 
Pavarde1549                   Vardas1549                    6.00 
Pavarde155                    Vardas155                     4.00 
Pavarde1550                   Vardas1550                    5.00 
Pavarde1551                   Vardas1551                    8.00 
Pavarde1552                   Vardas1552                    3.00 
Pavarde1553                   Vardas1553                    4.00 
Pavarde1554                   Vardas1554                    5.00 
Pavarde1555                   Vardas1555                    7.00 
Pavarde1556                   Vardas1556                    7.00 
Pavarde1557                   Vardas1557                    6.00 
Pavarde1558                   Vardas1558                    6.00 
Pavarde1559                   Vardas1559                    7.00 
Pavarde156                    Vardas156                     8.00 
Pavarde1560                   Vardas1560                    6.00 
Pavarde1561                   Vardas1561                    7.00 
Pavarde1562                   Vardas1562                    7.00 
Pavarde1563                   Vardas1563                    6.00 
Pavarde1564                   Vardas1564                    6.00 
Pavarde1565                   Vardas1565                    4.00 
Pavarde1566                   Vardas1566                    5.00 
Pavarde1567                   Vardas1567                    6.00 
Pavarde1568                   Vardas1568                    7.00 
Pavarde1569                   Vardas1569                    6.00 
Pavarde157                    Vardas157                     3.00 
Pavarde1570                   Vardas1570                    5.00 
Pavarde1571                   Vardas1571                    5.00 
Pavarde1572                   Vardas1572                    5.00 
